,BOLD_correlation,High_TI,Low_TI,Max,Max-Mean,Max-Min,Mean_peak,Mean_peak-Min,Medium_TI,Min,Task,Time_to_peak,Tstat,slope
3,0.699609253724477,0,0,0.7795318774787349,0.19024006917496586,0.2894496172158534,0.7896527549173292,0.48457779033184156,1,0.7914543599421816,0.0,0.75,0.45094584722983316,0.668387874295728
3,0.8419918721027436,0,0,0.6149828351978138,0.5062066857100346,0.6641400845303406,0.6161422548924694,0.5696810037749543,1,0.6122138586434981,1.0,0.5833333333333334,0.4051955900961226,0.6317548143114488
3,0.19610798177733668,0,1,0.6103198610741911,0.6966740388443624,0.8524607203659806,0.6038711479113623,0.4592103530873987,0,0.6024309481836783,1.0,0.5,0.19155964266214692,0.12156117441509103
3,0.1581054640603649,0,1,0.5,0.6807358596181874,0.7384457358908425,0.5,0.7256656488086115,0,0.5,0.0,0.5,0.692492761874147,0.35783834222677924
4,0.5259806191576591,0,0,0.5283112403009231,0.4115518978517907,0.35043519764370457,0.5343722955240607,0.12183675217326162,1,0.535158850943568,0.0,0.5,0.43943914432361847,0.6156364941073527
4,0.5036788890853775,0,0,0.35788979495921003,0.6011318078963337,0.52109789470195,0.3622526366475276,0.3492246804151295,1,0.36666269731039947,1.0,0.611111111111111,0.7825437229158019,0.35321381464236445
4,0.6059240554536176,0,1,0.8557734587882119,0.08215943539005216,0.19734324954545263,0.8559541732340117,0.5686054983416403,0,0.8652949440072195,1.0,0.9444444444444444,0.2665997322475983,0.7733266033595574
4,0.8930953740211481,0,1,0.9389617249145272,0.21865038198237408,0.12437115760591852,0.9381516169592219,0.23205715462728957,0,0.9389137518438575,0.0,0.875,0.13439478617725983,0.903632133791233
4,0.8808493740561101,1,0,0.9795475472033144,0.0552271179966563,0.033141963046821495,0.9815807681396949,0.25869455022136617,0,0.9818365712049901,0.0,0.8125,0.5834920129880627,0.9327721315511743
4,0.35364009447779365,1,0,0.20700872924604558,0.6808670729101303,0.5794443246132639,0.2162967300378385,0.3649432137707214,0,0.2168849543130773,1.0,0.38888888888888884,0.972332134021099,0.40996880451448936
5,0.6221675064947642,0,0,0.4739481841273654,0.14955623259086437,0.2675514138570519,0.4828736775127316,0.47597566374595934,1,0.4836245316298007,0.0,0.4375,0.5126795900214012,0.4685188894086523
5,0.6479984010722947,0,0,0.5490964662806069,0.2954813275736299,0.31566194250026375,0.5469975495070848,0.3358084551215985,1,0.5456599013676846,1.0,0.5185185185185185,0.7786583657827809,0.6975170193728344
5,0.6883868231131512,1,0,0.025984443371945165,0.05111539348332317,0.14785115659213488,0.027093849103801748,0.32175370356542027,0,0.023938902399891916,0.0,0.625,0.7005833687950409,0.3029973882164133
