,BOLD_correlation,Mask,Max,Max-Mean,Max-Min,Mean_peak,Mean_peak-Min,Min,TI,Task,Time_to_peak,slope
3,0.26255650788290724,0.0,1.0,0.0,0.0,1.0,0.0,1.0,630,0.0,0.5,0.15464699153076544
3,0.0,0.0,0.5189678891828384,0.2717475803872896,0.3182396175179412,0.5076191699740722,0.15407961517355684,0.5207209266540787,650,0.0,1.0,0.0
3,0.6391448780596374,0.0,0.4899741773666264,0.3351644087238385,0.3285688025317172,0.4935444426210465,0.4010036283247457,0.4925729086771495,670,0.0,0.5,0.6139188336991587
3,1.0,0.0,0.2187278209212291,0.26389348629960424,0.4428471914187795,0.2324376065140781,0.6614918399629129,0.2277632281848669,690,0.0,0.0,0.4124478781072105
3,0.582537100036972,0.0,0.13100718316127935,1.0000000000000002,0.9999999999999998,0.11831381698637775,1.0,0.09863748382564007,710,0.0,0.5,1.0
3,0.4989070256416264,0.0,0.0,0.6174489857078744,0.7051706867444938,0.0,0.7595840058811757,0.0,730,0.0,0.5,0.7725470852200255
3,0.5039014436569588,0.0,0.04140123088580161,0.6267955617326302,0.7020448831331985,0.04123675819897521,0.7620819193962521,0.0392219324761216,750,0.0,0.5,0.7379440757836028
4,0.9728636031247608,0.0,0.0,0.0,0.0,0.0,0.2465815226771544,0.0,630,0.0,0.5,0.4883246378299722
4,0.7891164618282875,0.0,0.04133371727646118,0.21469378375017012,0.3743346149963471,0.030575735103226087,0.4701336798308039,0.02128369257494,650,0.0,0.75,0.7191189773491626
4,0.2512056327779286,0.0,0.6682931337104154,0.09442306547400542,0.07257662712335901,0.7029930317572566,0.0441818588934576,0.7041612972918312,670,0.0,0.5,0.2290666294075997
4,0.0,0.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0,690,0.0,1.0,0.0
4,0.657561708932399,0.0,0.8282004858939098,0.4044010615134328,0.7098269901781323,0.8742907290659572,1.0,0.8353277685209486,710,0.0,0.5,0.9935202400592892
4,1.0,0.0,0.7114100972339346,0.06955698239860075,0.20479208712591115,0.7643862816999194,0.6169891521200261,0.7419136294659907,730,0.0,0.0,0.9718472741972634
4,0.8625973475554797,0.0,0.5589680961973276,0.4240336608836317,0.5416569262709886,0.588772208860572,0.8167025320991403,0.5600104038517877,750,0.0,0.25,1.0
5,0.7429016208389769,0.0,0.38584492845556895,0.0,0.0,0.5285297648650413,0.0,0.9238969667780881,630,0.0,1.0,0.11868876480022285
5,0.9309413524757292,0.0,1.0,1.0,1.0,1.0,1.0,1.0,650,0.0,0.5,1.0
5,0.8874608858735062,0.0,0.47796715419563895,0.6078660430239601,0.5965030876530115,0.4959566347495041,0.6339456107341394,0.4976865980526881,670,0.0,0.25,0.9498576071282642
5,0.0,0.0,0.11851068404550348,0.06532590389620996,0.015053288680400291,0.21108634293990747,0.0336023232581858,0.4493844623304568,690,0.0,0.0,0.17616729368341832
5,0.6920995305778337,0.0,0.2279877818881885,0.3169964338566357,0.2240452825192944,0.21195037928430333,0.06332228711983122,0.4328259655033335,710,0.0,0.75,0.0
5,0.9380763603605736,0.0,0.4801353767859951,0.16834116047147554,0.2243320532776895,0.6168912663359052,0.3076214767551209,0.8661856222525302,730,0.0,0.5,0.4016790254134436
5,0.9999999999999998,0.0,0.0,0.33210239316377177,0.2656067913477102,0.0,0.27949617502511226,0.0,750,0.0,0.5,0.35289104950562844
6,0.6865485866822302,0.0,0.0,0.5333240666412435,0.7764824310582084,0.0,0.6003085052033522,0.0,630,0.0,1.0,0.6881536505649235
6,1.0,0.0,1.0,0.200575566720812,0.3783204002266008,0.9999999999999982,0.5706077660844203,1.0,650,0.0,0.5,0.6949043520522693
6,0.030321443024161343,0.0,0.8127331332926993,0.4266714695241415,0.6193755842521413,0.7797083210673161,0.3170430673211597,0.8003452257162884,670,0.0,0.0,0.0
6,0.8697126844360229,0.0,0.6371202003914505,0.18476437962600256,0.19448647787398954,0.6435709540358818,0.354601054361118,0.6615488131898193,690,0.0,0.75,0.622922731190519
6,0.8877342178329726,0.0,0.6199586803582413,1.0,0.9903057081678146,0.6188524456272989,1.0,0.5856826658121399,710,0.0,0.625,1.0
6,0.0,0.0,0.030063274079269675,0.0,0.0,0.03941138085498075,0.0,0.08694692577351938,730,0.0,0.0,0.3288814210519679
6,0.6918654301643876,0.0,0.5036726898791137,0.5681281268320042,1.0,0.49775153301246,0.9085799700901946,0.4721203777979319,750,0.0,0.5,0.9558216146263404
7,0.8204068652756082,0.0,0.8369201695517035,1.0,1.0,0.8144525556853717,1.0,0.7870831506125882,630,0.0,0.5,1.0
7,1.0,0.0,1.0,0.4925830777022322,0.5291122419757145,1.0000000000000009,0.7308406489545612,1.0,650,0.0,0.0,0.9108911958101444
7,0.9567048004898976,0.0,0.4964539249597575,0.10260109546212408,0.21500848739805573,0.5037430570133603,0.4128943690435423,0.500717930552975,670,0.0,0.5,0.605132748712381
