,BOLD_correlation,Max,Max-Mean,Max-Min,Mean_peak,Mean_peak-Min,Min,TI,Task,Time_to_peak,slope
16,0.4700069613782985,0.0,0.0,0.0,0.0,0.0,0.005565394864039064,710,1.0,0.25,0.5475151643120005
16,0.3031189834702885,0.1311260617689456,0.2172398702708651,0.1778109648038274,0.1319246966279728,0.4363045535927503,0.10895692429506454,730,1.0,0.5,0.8875311368333272
16,0.07636227698840757,0.09166220163474392,0.6597356454777624,0.5393693277996596,0.021969690963004496,0.4187021467910932,0.0,750,1.0,0.875,0.3429667674454758
17,1.0,0.6806170072330602,0.2868382878504248,0.5339930661608135,0.6978540152735135,0.7627610345055733,0.611393830705099,630,0.0,0.0,0.9999999999999998
17,0.8585745918569785,1.0,0.0,0.0,1.0,0.0,1.0000000000000018,650,0.0,0.5,0.00016342488805376476
17,0.5578004610559226,0.0,0.1413011305804326,0.2705784375622217,0.0,0.23974994826948226,0.0,670,0.0,0.0,0.25988568916536997
17,0.6573550916658872,0.7517741869318613,0.5978880423106481,0.6291808483559428,0.7286038995033408,0.5740861202271497,0.6648511893619631,690,0.0,0.5,0.29601060616400754
17,0.7270799497744802,0.2866145457738405,1.0000000000000002,1.0,0.2649810836812314,1.0,0.16180582251043066,710,0.0,0.5,0.7890827138482608
17,0.5559326530791191,0.35600584714197936,0.034165422602176365,0.2933251617276721,0.3524656160857269,0.27402130402103264,0.3375894967827016,730,0.0,1.0,0.17275863400174374
17,0.0,0.09500570525876027,0.12728636300892027,0.1634938470007724,0.1034141963821611,0.1816007456858109,0.10759186696236966,750,0.0,0.5,0.0
17,0.9655234315451094,0.9635134146796318,0.7142489261988918,0.8461711530838534,0.9765176242863802,0.6897976569004404,0.9764782831450668,630,1.0,1.0,0.8335217137785336
17,1.0,0.5102732396836913,0.2671766619394349,0.3684152678537312,0.5052519245522049,0.0,0.5318707124618953,650,1.0,0.0,0.0
17,0.5525425129036607,1.0,0.9999999999999998,1.0,1.0,0.691816450546849,1.0,670,1.0,0.8,0.34621568949859505
17,0.4068305210894169,0.39079747000128506,0.3102760042112012,0.4499524595602877,0.4087719936629455,1.0,0.3926046799960403,690,1.0,0.8,1.0
17,0.0,0.1054614457876184,0.0,0.04856649132366808,0.10733754383041116,0.1996346929595555,0.12340422194083445,710,1.0,0.0,0.18939276338631605
17,0.6827377706849953,0.10121369356197008,0.031605241996216615,0.0,0.10297997735672837,0.08365518806052752,0.12392641577830332,730,1.0,1.0,0.7202181619904526
17,0.4372707342542526,0.0,0.0037616340422458867,0.12499518635094907,0.0,0.5662150149939925,0.0,750,1.0,0.8,0.8511450068436281
18,0.0,1.0,0.2482918692461864,0.5098000175567416,1.0,0.7599737999722552,1.0,630,0.0,0.0,0.0
18,0.8676596682075446,0.0,1.0,1.0000000000000002,0.0,1.0,0.0,650,0.0,1.0,0.7391067305503631
18,0.7240991055805492,0.8152267671118816,0.25147530945923746,0.3670823007366546,0.8197945438232677,0.6420036244396773,0.8231736780483154,670,0.0,0.0,1.0000000000000002
18,1.0,0.7002275110205698,0.270315211698974,0.3524354033924564,0.7034027531134006,0.4880759669755462,0.7105936310575376,690,0.0,0.5,0.69538565321257
18,0.9142776938264404,0.18995375836441086,0.07845799745527883,0.3084904494634907,0.20379237530826666,0.6388075540927783,0.21033745750934066,710,0.0,1.0,0.9200191661881004
18,0.6910124833006208,0.7066106026418368,0.0,0.0,0.7114956373637824,0.0,0.728875495353003,730,0.0,0.0,0.2940695774812234
18,0.7808739647116278,0.6220416724772417,0.1699771119142044,0.4098038123299224,0.6272357541393192,0.6336278509931933,0.6317591556793682,750,0.0,0.0,0.949818983387238
18,0.8791056605197605,0.4283679449947362,0.7646206229367377,0.4950950599407987,0.4202942847342204,0.2898147220089241,0.4175427876932401,630,1.0,1.0,0.5397401309052056
18,0.0,0.0,0.10971524266525036,0.08464054471399317,0.0,0.13687442836106595,0.0,650,1.0,0.6666666666666666,0.4542468124510524
18,0.07784977375981528,1.0,0.0,0.0,0.9999999999999998,0.07027982637775154,1.0000000000000002,670,1.0,0.5555555555555556,0.5292717083456161
18,0.6058190728304743,0.9826863208468198,1.0,0.7373615325654029,0.9789708400352206,1.0,0.9648533673317188,690,1.0,0.7777777777777777,1.0
18,0.6497015176775283,0.8662156815678252,0.18378469169184555,0.15805828549268586,0.8614507639322804,0.0,0.8626598626840709,710,1.0,0.8888888888888888,0.17755978040518974
18,1.0,0.6640013395252282,0.951095442527234,1.0,0.6463757332997997,0.4829916143139306,0.6404575262725227,730,1.0,0.0,0.0
18,0.3676231472958174,0.9664701981729736,0.6418686791360598,0.4070740442896583,0.965315628758748,0.640812095879965,0.9566743547154306,750,1.0,0.5555555555555556,0.9494938988461564
19,1.0,0.0,0.151636577754395,0.31796805561658115,0.0,0.27184531540571355,0.0,630,0.0,1.0,0.0007461364883465382
19,0.0,0.3259554161444793,0.9377707242540606,0.9835095415735704,0.3071295792186621,1.0,0.2508462450516973,650,0.0,0.0,1.0
19,0.7177619276655962,0.2763001165737684,1.0,1.0,0.23200904258817445,0.6918050041210922,0.2000505746020167,670,0.0,0.3333333333333335,0.14757944268012269
19,0.5870096962358909,0.33086229122827504,0.7130175101457455,0.8565167540117629,0.2993061723908106,0.6759968526702774,0.2692471686775875,690,0.0,0.3333333333333335,0.2479446305323956
19,0.6707920203970248,0.2980902319908552,0.2513678967960176,0.7240133010358779,0.2936700265159207,0.8304046171239478,0.2510277051702712,710,0.0,1.0,0.6713871010723758
19,0.879711378239004,1.0,0.0,0.20102390290447314,1.0,0.3847161339624737,1.0,730,0.0,0.3333333333333335,0.3762655757187332
19,0.3702613995241668,0.7629085341453692,0.050072584629558436,0.0,0.758316025125005,0.0,0.7873255090759503,750,0.0,0.0,0.0
